Catalogue Entry,Familiar Name,Alternative Entries,Type,Constellation,Right Ascension,Declination,Magnitude,Size,Surface Brightness,Rise time over 10º,Transit Time,Set time below 10º,Maximum Elevation
NGC 2808,,"ESO 91-SC1, GCL 13",Globular cluster,Carina,"09h 12' 03""","-64º 51' 45""",6.20,14',20.56,3:45pm,1:29am,11:13am,57º
NGC 2784,,"ESO 497-23, AM 0910-235, MCG -4-22-5, PGC 25950, UGCA 152",Galaxy,Hydra,"09h 12' 19""","-24º 10' 21""",10.20,5.5' x 2.2',21.54,7:18pm,1:29am,7:41am,83º
NGC 2835,,"ESO 564-35, AM 0915-220, IRAS 09156-2208, MCG -4-22-8, PGC 26259, UGCA 157",Galaxy,Hydra,"09h 17' 53""","-22º 21' 19""",10.50,6.6' x 4.4',22.79,7:28pm,1:35am,7:42am,81º
NGC 2997,,"ESO 434-35, AM 0943-305, MCG -5-23-12, PGC 27978, UGCA 181",Galaxy,Antlia,"09h 45' 39""","-31º 11' 26""",9.50,8.9' x 6.8',22.58,7:33pm,2:03am,8:33am,90º
NGC 3109,,"ESO 499-36, AM 1000-255, DDO 236, MCG -4-24-13, PGC 29128, UGCA 194",Galaxy,Hydra,"10h 03' 07""","-26º 09' 30""",9.90,19.1' x 3.7',23.15,8:04pm,2:20am,8:36am,85º
NGC 3115,,"C 53, MCG -1-26-18, PGC 29265, UGCA 199",Galaxy,Sextans,"10h 05' 14""","-07º 43' 05""",8.90,7.2' x 2.4',20.62,8:51pm,2:22am,7:53am,66º
NGC 3137,,"ESO 435-47, AM 1006-284, IRAS 10068-2849, MCG -5-24-24, PGC 29530, UGCA 203",Galaxy,Antlia,"10h 09' 07""","-29º 03' 49""",11.50,6.2' x 2.2',22.97,8:02pm,2:26am,8:50am,87º
NGC 3175,,"ESO 436-3, AM 1012-283, IRAS 10124-2837, MCG -5-24-28, PGC 29892, UGCA 207, V V 796",Galaxy,Antlia,"10h 14' 42""","-28º 52' 16""",11.20,5.1' x 1.3',21.88,8:08pm,2:32am,8:55am,87º
NGC 3199,,ESO 127-EN14,Bright nebula,Carina,"10h 17' 24""","-57º 55' 00""",0.00,22',0.00,6:09pm,2:34am,11:00am,64º
NGC 3201,,"ESO 263-SC26, C 79, GCL 15",Globular cluster,Vela,"10h 17' 37""","-46º 24' 38""",6.90,20',22.03,7:13pm,2:35am,9:56am,75º
NGC 3263,,"ESO 263-43, AM 1027-435, IRAS 10270-4351, MCG -7-22-18, PGC 30887",Galaxy,Vela,"10h 29' 13""","-44º 07' 22""",11.90,5.1' x 1.4',22.66,7:34pm,2:46am,9:58am,78º
NGC 3324,Gabriela Mistral Nebula,IC 2599,Bright nebula,Carina,"10h 37' 18""","-58º 40' 00""",6.70,16',21.35,6:22pm,2:54am,11:26am,63º
NGC 3511,,"ESO 502-13, IRAS 11009-2248, MCG -4-26-20, PGC 33385, UGCA 223",Galaxy,Crater,"11h 03' 24""","-23º 05' 11""",11.00,6' x 2.1',22.38,9:12pm,3:20am,9:29am,81º
NGC 3621,,"ESO 377-37, AM 1115-323, IRAS 11159-3235, MCG -5-27-8, PGC 34554, UGCA 232",Galaxy,Hydra,"11h 18' 16""","-32º 48' 40""",9.70,12.3' x 6.8',23.13,9:01pm,3:35am,10:10am,89º
NGC 3717,,"ESO 439-15, AM 1129-300, IRAS 11290-3001, MCG -5-27-15, PGC 35539, UGCA 238",Galaxy,Hydra,"11h 31' 32""","-30º 18' 30""",11.20,6.2' x 1',21.81,9:21pm,3:48am,10:16am,89º
NGC 4372,,"ESO 64-SC6, C 108, GCL 19",Globular cluster,Musca,"12h 25' 45""","-72º 39' 31""",7.20,5',19.32,-,4:42am,-,49º
NGC 4833,,"ESO 65-SC4, C 105, GCL 21, Lac I-4",Globular cluster,Musca,"12h 59' 35""","-70º 52' 27""",8.40,14',22.76,-,5:16am,-,51º
NGC 6101,,"ESO 69-SC4, C 107, GCL 40",Globular cluster,Apus,"16h 25' 49""","-72º 12' 04""",9.20,5',21.32,-,8:46am,-,49º
NGC 104,47 Tucanae,"ESO 50-SC9, C 106, GCL 1",Globular cluster,Tucana,"00h 24' 05""","-72º 04' 49""",4.00,50',21.12,-,4:43pm,-,50º
NGC 152,,ESO 28-SC24,Globular cluster,Tucana,"00h 32' 54""","-73º 07' 00""",12.00,30',28.01,-,4:51pm,-,49º
NGC 346,,ESO 51-SC10,Bright nebula,Tucana,"00h 59' 06""","-72º 11' 00""",10.30,5.2',22.51,-,5:18pm,-,49º
NGC 362,,"ESO 51-SC13, C 104, GCL 3",Globular cluster,Tucana,"01h 03' 14""","-70º 50' 52""",6.80,14',21.16,-,5:22pm,-,51º
NGC 371,,ESO 51-SC14,Bright nebula,Tucana,"01h 03' 30""","-72º 03' 00""",13.80,7.5',26.80,-,5:22pm,-,50º
NGC 376,,ESO 29-SC29,Globular cluster,Tucana,"01h 03' 54""","-72º 48' 60""",11.80,7.9',24.92,-,5:22pm,-,49º
NGC 395,,ESO 51-SC16,Bright nebula,Tucana,"01h 05' 06""","-72º 00' 00""",0.00,17',0.00,-,5:24pm,-,50º
NGC 456,,ESO 29-SC38,Bright nebula,Tucana,"01h 13' 42""","-73º 18' 00""",0.00,15',0.00,-,5:32pm,-,48º
NGC 1079,,"ESO 416-13, IRAS 02415-2913, MCG -5-7-17, PGC 10330",Galaxy,Fornax,"02h 43' 44""","-29º 00' 10""",11.50,5.5' x 3.1',23.21,0:38pm,7:02pm,1:26am,87º
NGC 1097,,"ESO 416-20, AM 0244-302, Arp 77, C 67, IRAS 02441-3029, MCG -5-7-24, PGC 10488, UGCA 41",Galaxy,Fornax,"02h 46' 19""","-30º 16' 32""",9.50,9.4' x 6.6',22.61,0:37pm,7:05pm,1:32am,89º
NGC 1232,,"ESO 547-14, Arp 41, MCG -4-8-32, PGC 11819",Galaxy,Eridanus,"03h 09' 45""","-20º 34' 45""",9.90,7.4' x 6.5',22.73,1:26pm,7:28pm,1:30am,79º
NGC 1261,,"ESO 155-SC11, C 87, GCL 5",Globular cluster,Horologium,"03h 12' 15""","-55º 12' 59""",8.30,6.8',21.09,11:24am,7:30pm,3:37am,66º
NGC 1269,,"NGC 1291, ESO 301-2, AM 0315-411, IRAS 03154-4117, MCG -7-7-8, PGC 12209",Galaxy,Eridanus,"03h 17' 18""","-41º 06' 26""",8.50,11' x 9.5',22.18,0:35pm,7:35pm,2:36am,81º
NGC 1313,,"ESO 82-11, AM 0317-664, IRAS 03176-6640, PGC 12286, V V 436",Galaxy,Reticulum,"03h 18' 16""","-66º 29' 43""",8.70,9.2' x 7.2',21.88,9:19am,7:36pm,5:54am,55º
NGC 1300,,"ESO 547-31, IRAS 03174-1935, MCG -3-9-18, PGC 12412, UGCA 66",Galaxy,Eridanus,"03h 19' 41""","-19º 24' 41""",10.40,6.2' x 4.1',22.54,1:39pm,7:38pm,1:37am,78º
NGC 1316,,"ESO 357-22, AM 0320-372, Arp 154, FCC 21, IRAS 03208-3723, MCG -6-8-8, PGC 12651",Galaxy,Fornax,"03h 22' 41""","-37º 12' 28""",8.50,11' x 7.2',21.88,0:53pm,7:41pm,2:29am,84º
NGC 1337,,"MCG -2-9-42, PGC 12916",Galaxy,Eridanus,"03h 28' 06""","-08º 23' 18""",11.90,5.7' x 1.5',22.86,2:14pm,7:46pm,1:19am,67º
NGC 1350,,"ESO 358-13, AM 0329-334, FCC 88, IRAS 03291-3347, MCG -6-8-23, PGC 13059",Galaxy,Fornax,"03h 31' 08""","-33º 37' 38""",10.30,5.9' x 3.1',22.08,1:12pm,7:49pm,2:26am,88º
NGC 1360,,"ESO 482-PN7, AM 0331-260, PK 220-53.1",Planetary nebula,Fornax,"03h 33' 15""","-25º 52' 16""",9.40,6.4',22.07,1:36pm,7:51pm,2:07am,84º
NGC 1365,Great Barred Spiral Galaxy,"ESO 358-17, FCC 121, IRAS 03317-3618, MCG -6-8-26, PGC 13179, V V 825",Galaxy,Fornax,"03h 33' 37""","-36º 08' 27""",9.60,11' x 6.2',22.81,1:07pm,7:52pm,2:36am,85º
NGC 1367,,"NGC 1371, ESO 482-10, AM 0332-250, IRAS 03327-2505, MCG -4-9-29, PGC 13255, UGCA 79",Galaxy,Fornax,"03h 35' 01""","-24º 55' 60""",10.70,5.6' x 3.9',22.68,1:40pm,7:53pm,2:06am,83º
NGC 1399,,"ESO 358-45, AM 0336-353, FCC 213, MCG -6-9-12, PGC 13418",Galaxy,Fornax,"03h 38' 29""","-35º 26' 59""",9.60,6.9' x 6.5',22.36,1:14pm,7:57pm,2:39am,86º
NGC 1395,,"ESO 482-19, AM 0336-231, MCG -4-9-39, PGC 13419",Galaxy,Eridanus,"03h 38' 30""","-23º 01' 38""",9.60,5' x 4.5',21.61,1:48pm,7:57pm,2:05am,81º
NGC 1398,,"ESO 482-22, AM 0336-263, IRAS 03367-2629, MCG -4-9-40, PGC 13434",Galaxy,Fornax,"03h 38' 52""","-26º 20' 14""",9.70,7.2' x 5.2',22.26,1:40pm,7:57pm,2:14am,85º
